,epoch,val_loss,val_acc,loss,acc,opus,reg
0,0,4.1438574851368335,0.1253393665158371,4.056984782306509,0.12338089162296345,127,0.2
1,1,4.0284793577582585,0.1321266968325792,3.8388819980200974,0.14503344546608696,127,0.2
2,2,4.008742051102996,0.14389140271493212,3.736549487446004,0.1613888566695551,127,0.2
3,3,3.9515119988454415,0.15701357466063348,3.6627049965846106,0.173800409851912,127,0.2
4,4,3.914406538225407,0.16108597285067874,3.5728220202799936,0.19498898039670573,127,0.2
5,5,3.91547476565676,0.16968325791855204,3.4964265318005,0.21285233731585665,127,0.2
6,6,3.901359621971441,0.17466063348416289,3.418620200498804,0.2276998028105559,127,0.2
7,7,3.9400951027330766,0.17330316742081447,3.350449825021814,0.23848741445653665,127,0.2
8,8,3.9546525087831252,0.17013574660633485,3.273872526515292,0.25209759115453745,127,0.2
9,9,3.979315415982208,0.17828054298642534,3.1992286727779016,0.26350384719483433,127,0.2
10,10,4.0017811468823465,0.17420814479638008,3.1201243077925533,0.2749487685121526,127,0.2
11,11,4.0381925272186425,0.17239819004524887,3.0362707709130388,0.2867030120266289,127,0.2
12,12,4.083169446487772,0.1669683257918552,2.9533607031995475,0.3001198623527743,127,0.2
13,13,4.176633328226357,0.1660633484162896,2.8649783235449333,0.31840853729957136,127,0.2
14,14,4.2187883359814125,0.1597285067873303,2.776175196134025,0.33511193597203354,127,0.2
15,15,4.317720116317542,0.1520361990950226,2.6892475152713526,0.3474848238796737,127,0.2
16,16,4.372918316249934,0.151131221719457,2.590435332259672,0.3668174612380621,127,0.2
17,17,4.492273710863623,0.14796380090497738,2.4947063567231584,0.3875807137644282,127,0.2
18,18,4.574287717482623,0.15294117647058825,2.3942941969510265,0.40668135947221135,127,0.2
19,19,4.7387669653914095,0.14479638009049775,2.3015165150094115,0.4252793566167426,127,0.2
20,20,4.8085189586311445,0.14434389140271492,2.201485204548237,0.4433360399071728,127,0.2
21,21,4.987837463482473,0.13122171945701358,2.1057206071253254,0.4635193133116349,127,0.2
22,22,5.076053543436042,0.13665158371040725,2.013394336498001,0.484707883850667,127,0.2
23,23,5.223277813061331,0.13076923076923078,1.9153573845957848,0.5075590612117391,127,0.2
24,24,5.391057611266952,0.13122171945701358,1.8228609171608037,0.5260410625229015,127,0.2
25,25,5.5316683225502254,0.11040723981900452,1.7278971947230923,0.5495882148277232,127,0.2
26,26,5.722075608197381,0.1167420814479638,1.649838558441939,0.5670649190031634,127,0.2
27,27,5.879659632428201,0.1176470588235294,1.5627648352249193,0.5868228743811317,127,0.2
28,28,6.006877698078416,0.11266968325791855,1.4800392402272553,0.6092487337191669,127,0.2
29,29,6.2312803182127245,0.116289592760181,1.4130441105218718,0.6222789312964161,127,0.2
30,30,6.284262966138746,0.11855203619909503,1.3346235059564409,0.6445114642585628,127,0.2
31,31,6.580411339669206,0.1167420814479638,1.2558284552800785,0.6592815992003715,127,0.2
32,32,6.6340176155124855,0.09773755656108596,1.2039115072951416,0.6733944244742998,127,0.2
33,33,6.754918584780456,0.10452488687782806,1.143890001828408,0.6877779066643315,127,0.2
34,34,6.899763178070207,0.10588235294117647,1.081316518648979,0.7077678536917528,127,0.2
35,35,7.022291425558237,0.1009049773755656,1.022746453008477,0.7235432857819594,127,0.2
36,36,7.315631188526412,0.09683257918552036,0.9766456411507384,0.7361868306120407,127,0.2
37,37,7.3323144166178285,0.1004524886877828,0.9248763682306382,0.7453891659923291,127,0.2
38,38,7.448681124950428,0.09773755656108596,0.8776889508341994,0.7603139620330048,127,0.2
39,39,7.587792352961199,0.09185520361990952,0.8420082778147643,0.7674283725808918,127,0.2
40,40,7.668031570382787,0.09638009049773756,0.8001475557993143,0.7791052855465107,127,0.2
41,41,7.840249675215639,0.09411764705882353,0.7537824075607258,0.7933727719158491,127,0.2
42,42,7.901627494415008,0.09819004524886878,0.7198236944508314,0.800139194991285,127,0.2
43,43,8.104724156478952,0.09502262443438914,0.6944850756511036,0.8046630321331479,127,0.2
44,44,8.089930473085984,0.09819004524886878,0.6600722368325941,0.8174999033391178,127,0.2
45,45,8.26073161509242,0.09457013574660633,0.6265130867130891,0.8245369833375712,127,0.2
46,46,8.334995454468878,0.09638009049773756,0.6017890088443104,0.8317673897073039,127,0.2
47,47,8.490379834930282,0.09683257918552036,0.5804534165483015,0.8359045741089128,127,0.2
48,48,8.450441864065455,0.10497737556561086,0.5590602346682167,0.8442949387201488,127,0.2
49,49,8.585161250533021,0.0995475113122172,0.5249328920050544,0.8525306422348223,127,0.2
50,0,3.714810659359028,0.15300324675324675,4.1030482031645565,0.11804443750302243,130,0.2
51,1,3.7307587877496498,0.15300324675324675,3.996368920399484,0.121988363465969,130,0.2
52,2,3.754958654378916,0.09334415584415584,3.9910035296472186,0.12093404662481555,130,0.2
53,3,3.7290390466714833,0.15300324675324675,3.989512351718417,0.1253075090823307,130,0.2
