epoch,acc,loss,val_acc,val_loss,opus,reg
0,0.11584116305319195,4.126215526511266,0.1253393665158371,4.151819734443906,127,0.5
1,0.12836871206142766,3.9783707905298726,0.10904977375565611,4.134877226039834,127,0.5
2,0.13235123535725568,3.952405723430107,0.1248868778280543,4.148312652380758,127,0.5
3,0.13931098480454704,3.9213074467802844,0.12850678733031673,4.088866849614484,127,0.5
4,0.15516374743842554,3.8162836128868065,0.13665158371040723,4.015612263916844,127,0.5
5,0.1617368441402776,3.7539664250683473,0.1334841628959276,4.001573914747972,127,0.5
6,0.16386343425142882,3.7127140984477878,0.14389140271493212,3.9821559966419615,127,0.5
7,0.1718671461195301,3.6602374074888937,0.15429864253393666,4.0022443870613476,127,0.5
8,0.1842013687518773,3.6094953386780744,0.15294117647058825,3.9633968249705043,127,0.5
9,0.19491164984900064,3.5517126115067295,0.1583710407239819,3.9616183613220493,127,0.5
10,0.2068592197364847,3.5055929536642094,0.16063348416289594,3.963078278977407,127,0.5
11,0.21211769709623787,3.4603732502184386,0.17104072398190046,3.9561117215393895,127,0.5
12,0.2215520241288599,3.4041662395210177,0.16380090497737557,3.9836760611555695,127,0.5
13,0.22769980281401284,3.360219193063525,0.16968325791855204,3.9915329661304595,127,0.5
14,0.23585817577233886,3.3191948062014847,0.1669683257918552,3.9976371273196123,127,0.5
15,0.24386188763871167,3.2605930221415873,0.16199095022624435,4.064054533583007,127,0.5
16,0.2502803232451536,3.215527312171038,0.17601809954751133,4.0422064237465145,127,0.5
17,0.25550013533191845,3.156204727434141,0.16515837104072398,4.096973323390495,127,0.5
18,0.26292386807581114,3.1130462183235315,0.16923076923076924,4.14125522509959,127,0.5
19,0.273324826974048,3.062097009878509,0.16334841628959276,4.158207837704619,127,0.5
20,0.27935660982986515,3.009516876663782,0.16606334841628959,4.228258316765004,127,0.5
21,0.28929358543438144,2.958034499322198,0.1583710407239819,4.277388077300059,127,0.5
22,0.29849592081524584,2.903814713058793,0.15746606334841629,4.358345539213845,127,0.5
23,0.3077755867524577,2.8485615241925335,0.16153846153846155,4.386316112155828,127,0.5
24,0.3189111858674325,2.790658107062197,0.15746606334841629,4.392171518835007,127,0.5
25,0.3218497467441791,2.7520982908574796,0.14615384615384616,4.462732852745919,127,0.5
26,0.33596257201580265,2.687096024123744,0.15565610859728507,4.547048808654509,127,0.5
27,0.34589954761859043,2.6320404998342486,0.1515837104072398,4.59967219365668,127,0.5
28,0.3530139581676297,2.5799140724556695,0.1497737556561086,4.738291053426751,127,0.5
29,0.368209411131323,2.522321909134844,0.1407239819004525,4.81922570828399,127,0.5
0,0.11628724276650594,4.1656187403937075,0.15300324675324675,3.6942766362970527,130,0.5
1,0.12374555820248548,4.041481394104706,0.15300324675324675,3.703463672043441,130,0.5
2,0.130266703112769,3.9996043618101775,0.15584415584415584,3.64909822909863,130,0.5
3,0.1555703073173262,3.8435347448160044,0.1590909090909091,3.606861027804288,130,0.5
4,0.1602952087156859,3.776732225979295,0.16071428571428573,3.579126212504003,130,0.5
5,0.16958881643230508,3.726275557584255,0.1728896103896104,3.5635023643444113,130,0.5
6,0.17786715607823228,3.6752434220195416,0.18952922077922077,3.541679620742798,130,0.5
7,0.1890741536184506,3.6274587515111856,0.1976461038961039,3.5189743041992188,130,0.5
8,0.19629817642264244,3.5758886740215026,0.20170454545454544,3.516614511415556,130,0.5
9,0.2073099301029892,3.52156235096516,0.21103896103896103,3.493730653416027,130,0.5
10,0.21375297746914954,3.476751271114955,0.21428571428571427,3.4938659048699714,130,0.5
11,0.22125034167675425,3.4302642542892565,0.21266233766233766,3.505081105541873,130,0.5
12,0.23054394939308254,3.3773996587648503,0.20900974025974026,3.5334717174629113,130,0.5
13,0.23300402202408924,3.339811125207177,0.21469155844155843,3.5186109945371555,130,0.5
14,0.2422585809711198,3.278346933164667,0.20657467532467533,3.5197968823569163,130,0.5
15,0.2515131399210597,3.230698626441461,0.2122564935064935,3.5456436887964027,130,0.5
16,0.2553399195606936,3.1826736319278757,0.21103896103896103,3.576170760315734,130,0.5
17,0.2649849662233942,3.133825523887097,0.21185064935064934,3.6008532140162086,130,0.5
18,0.2704908430632766,3.0787222090280992,0.2077922077922078,3.634490576657382,130,0.5
19,0.27966730446327465,3.027535443248434,0.20089285714285715,3.629894869668143,130,0.5
20,0.2874770588558092,2.9733486274781207,0.19886363636363635,3.7171558590678426,130,0.5
21,0.2973954469166858,2.923415450080825,0.20292207792207792,3.746803122681457,130,0.5
22,0.30715763989280725,2.8721680727570678,0.2077922077922078,3.743746636749862,130,0.5
23,0.31453785778466364,2.81615519836435,0.19521103896103897,3.780529260635376,130,0.5
24,0.32855636690342466,2.765347650643323,0.1858766233766234,3.8311812072605282,130,0.5
25,0.33757663321546727,2.709746441077151,0.1939935064935065,3.847812791923424,130,0.5
26,0.3433168026900467,2.6445695530074635,0.18141233766233766,3.9600915072800276,130,0.5
27,0.3566714826821606,2.6005830965679286,0.18262987012987014,3.9752953424082174,130,0.5
28,0.3645202858375923,2.548171966291609,0.17248376623376624,4.071847175622915,130,0.5
29,0.3788511851395376,2.4959886257239483,0.17613636363636365,4.145666165785356,130,0.5
0,0.11857831420135226,4.131948547128964,0.13155833987071353,3.971194608004278,131,0.5
1,0.12657235785510043,4.007078373374701,0.13508222396824635,3.95458337937656,131,0.5
2,0.14083623966660738,3.9185845942523225,0.15465935788459392,3.849388080924026,131,0.5
3,0.15717700537059265,3.811092845072235,0.16014095537872078,3.8217694742565707,131,0.5
4,0.15960656766364734,3.7584202195032295,0.15974941270056886,3.810746745383637,131,0.5
5,0.1663074571905131,3.7061102063385194,0.16797180894175917,3.820210908667222,131,0.5
6,0.17955249030543158,3.656637611039366,0.17188723572327835,3.7972360142713053,131,0.5
7,0.1888788745658021,3.603454507888823,0.18402505876057393,3.7968425033796365,131,0.5
8,0.1986363102084179,3.5512037426519414,0.1769772905392533,3.8068986827727866,131,0.5
9,0.20874642424109943,3.5028080356882967,0.17815191858829516,3.8086548202562445,131,0.5
10,0.21650534896151932,3.4588263868851143,0.1828504307027804,3.801789033945034,131,0.5
11,0.21944433559892673,3.4160146431384955,0.18010963195571697,3.844394625586836,131,0.5
12,0.2264979035269528,3.3671519829658014,0.1785434612431093,3.860731470650215,131,0.5
13,0.23312042008499595,3.323708564361868,0.17736883320865354,3.871318464645111,131,0.5
14,0.2403699204596033,3.27475495482132,0.17893500392126122,3.884384693722288,131,0.5
15,0.24566009640284917,3.2265174292467935,0.17697729053050162,3.910538043094596,131,0.5
16,0.25408519142949987,3.1835051259864082,0.17110415038156063,3.958014545724461,131,0.5
17,0.26004153768364796,3.1332552029779235,0.17149569303637477,3.993692394337247,131,0.5
18,0.270739449043811,3.0860660197784444,0.17580266249604587,3.9887437392886764,131,0.5
19,0.2762255574295507,3.0359761120266917,0.16718872360004142,4.0209997142770835,131,0.5
20,0.2857870606232495,2.983466044232419,0.17384494912862405,4.056620104199008,131,0.5
21,0.2938202907695839,2.9327668211266626,0.1667971809218895,4.077650274442525,131,0.5
22,0.30087385869936173,2.88299916841528,0.1550509005539942,4.159069462315403,131,0.5
