opus,LSTM,N-GRAM
18,0.22169866887612288,0.19
59,0.21568627453660932,0.22
74,0.22574257431644024,0.18227947
95,0.1917057903206591,0.16447368
127,0.17375565610859728,0.19722038
130,0.21753246753246752,0.23726021
131,0.1750195771484937,0.18519849
132,0.16460396034686087,0.2212738
135,0.17631403851017347,0.15940902
mean,0.1957843341884916,0.19523500555555554
